Question,Generated Answer,Correct Answer,Evaluation
What mitigation strategy involves restricting unnecessary network connections to combat MITRE ATT&CK Technique T0878 (Alarm Suppression)?,B,B,Correct
"In the context of MITRE ATT&CK's Alarm Suppression, which procedural example demonstrates suppression of alarm reporting to the central computer?",D,A,Incorrect
Which data source is recommended for monitoring loss of network traffic that might indicate suppression of alarms under MITRE ATT&CK Technique T0878 (Alarm Suppression)?,B,B,Correct
"According to MITRE ATT&CK, what role does Out-of-Band Communications Channel play in mitigating Technique T0878 (Alarm Suppression)?",B,B,Correct
Adversaries may target which type of devices that are transient across ICS networks for initial access according to MITRE ATT&CK technique T0864 (Transient Cyber Asset)?,B,A,Incorrect
"In the Maroochy Water Breach (Procedure ID: C0020), what was used by the adversary to communicate with the wastewater system?",C,A,Incorrect
Which of the following is a mitigation strategy (M0930) to control movement of software between business and OT environments as outlined in the document?,B,B,Correct
What data source would help in detecting network traffic originating from unknown transient assets as proposed in the document?,C,C,Correct
"According to MITRE ATT&CK technique T0890, which of the following describes a scenario where exploitation for privilege escalation might occur?",C,C,Correct
Which MITRE ATT&CK pattern technique ID and name best relates to leveraging a vulnerable driver to load unsigned code? (Platform: None),C,C,Correct
"For the procedure example S1009 associated with Triton, what method does Triton use to achieve privilege escalation?",A,C,Incorrect
What mitigation strategy involves using virtualization and microsegmentation to reduce the impact of software exploitation?,A,A,Correct
"During the 2015 Ukraine Electric Power Attack (MITRE ATT&CK T0827), what tactic did adversaries use to prevent operators from controlling their equipment?",C,C,Correct
Which mitigation strategy (MITRE ATT&CK T0827) is recommended to maintain control during an impact event in industrial systems?,B,B,Correct
What key aspect of the Industroyer malware (MITRE ATT&CK T0827) contributed to a loss of control in affected systems?,A,B,Incorrect
Which mitigation technique involves performing integrity checks of firmware using cryptographic hashes?,B,D,Incorrect
"During the 2015 Ukraine Electric Power Attack, what method did the Sandworm Team use to disrupt systems?",C,C,Correct
Which MITRE ATT&CK mitigation suggests using host-based allowlists to prevent devices from accepting unauthorized connections?,C,C,Correct
What is the purpose of the Triton malware according to MITRE ATT&CK technique S1009?,B,B,Correct
Which mitigation strategy recommends encrypting firmware to prevent adversaries from identifying possible vulnerabilities within it?,A,A,Correct
What should be monitored to detect firmware modifications as per the detection technique DS0001?,D,D,Correct
"In the context of MITRE ATT&CK for ICS, what tactic does T0849 (Masquerading) fall under?",B,B,Correct
During which attack did the Sandworm Team transfer executable files as .txt and then rename them to .exe to avoid detection?,A,A,Correct
What mitigation strategy involves requiring signed binaries to prevent masquerading attacks on ICS platforms?,B,B,Correct
Which data source should be monitored for indications like mismatched file names between the file name on disk and the binary's metadata to detect masquerading?,C,C,Correct
"In the example procedures given, which malicious entity masqueraded as a standard compiled PowerPC program named inject.bin on the Tricon platform?",D,D,Correct
"Which of the following procedures best describes an attack that alters HMI visuals, thus causing a loss of view specific to Programmable Logic Controllers (PLCs)?",A,D,Incorrect
"Regarding MITRE ATT&CK for ICS and the 'Loss of View' technique (T0829), which mitigation strategy ensures stored data remains uncompromised and readily available for quick recovery?",A,A,Correct
LockerGoga (S0372) led to a loss of view forcing manual operations at Norsk Hydro. Which mitigation would have minimized this impact?,C,B,Incorrect
"In the context of the 2015 Ukraine Electric Power Attack, which MITRE ATT&CK technique is exemplified by Sandworm Team issuing unauthorized commands?",A,A,Correct
Which asset is specifically targeted by adversaries using the INCONTROLLER tool for unauthorized command messages in ICS environments?,C,D,Incorrect
Which capability is demonstrated by the Industroyer tool as described in the document?,B,C,Incorrect
Which mitigation strategy focuses on ensuring authenticity in protocols used for control functions?,C,C,Correct
What kind of anomalous activity should be monitored in the application log to detect unauthorized command messages according to the detection methods listed?,C,C,Correct
What role does Network Traffic Flow detection play in identifying the execution of the technique Unauthorized Command Message (T0855)?,B,C,Incorrect
Which of the following mitigations for the MITRE ATT&CK technique T0804 (Block Reporting Message) can provide redundancy for blocked messages in control systems?,B,B,Correct
"During the 2015 Ukraine Electric Power Attack (ID: C0028), which method did the Sandworm Team use to block reporting messages?",A,A,Correct
"For the MITRE ATT&CK technique T0804 (Block Reporting Message), which data source would help detect a loss of operational process data?",D,C,Incorrect
Which of the following detection methods would help identify network communication loss potentially caused by the MITRE ATT&CK technique T0804 (Block Reporting Message)?,D,D,Correct
"In the context of MITRE ATT&CK for Enterprises, which technique is specifically associated with Network Connection Enumeration?",D,D,Correct
Which detection method can help identify adversary behavior related to Network Connection Enumeration via executed commands?,C,C,Correct
"Based on the MITRE ATT&CK framework for Enterprises, which malware is known for enumerating all connected network adapters to determine their TCP/IP subnet masks?",A,B,Incorrect
What mitigation strategy is considered limited or not effective against Network Connection Enumeration?,D,D,Correct
Which MITRE ATT&CK technique involves the use of protocols like FTP and SMB for command and control communication?,B,B,Correct
What threat actor is known to have used SMB to conduct peer-to-peer communication as encapsulated in Windows named pipes according to MITRE ATT&CK?,A,A,Correct
Which mitigation technique can be used against file transfer protocol-based C2 communication according to MITRE ATT&CK?,B,B,Correct
Which data source would be most effective in detecting anomalous file transfer protocol traffic?,C,C,Correct
APT41 is noted for using which method in the context of MITRE ATT&CK's T1071.002?,A,B,Incorrect
"In the context of MITRE ATT&CK for Enterprise, which remote service is NOT mentioned as an example in technique T0886 (Remote Services)?",B,B,Correct
"During the 2015 Ukraine Electric Power Attack, which software did the Sandworm Team use to move the mouse on ICS control devices?",A,B,Incorrect
Which mitigation is recommended for preventing unauthorized access to remote services by enforcing strong authentication measures?,B,B,Correct
Which malware uses the SMB protocol to encrypt files located on remotely connected file shares?,B,B,Correct
What specific protocol does INCONTROLLER use to connect remotely to Schneider PLCs?,A,D,Incorrect
"Regarding detection methods for remote services, which data source should be monitored for new network connections specifically designed to accept remote connections?",C,C,Correct
Which technique enables adversaries to transfer tools or files from one system to another for lateral movement in ICS environments as described in MITRE ATT&CK?,C,C,Correct
"During which event did the Sandworm Team utilize a VBS script to facilitate lateral tool transfer, specifically for ICS-specific payloads?",A,B,Incorrect
Which of the following mitigations can help to detect unusual data transfer over known tools and protocols at the network level?,C,C,Correct
Which technique does INCONTROLLER use to sniff network traffic?,B,B,Correct
What specific attribute does VPNFilter monitor in network traffic?,C,C,Correct
Which type of system is targeted by malicious DP_RECV blocks as used in Stuxnet?,B,B,Correct
What mitigation technique involves using protocols such as Kerberos for authentication?,B,C,Incorrect
Which data source can be monitored to detect actions that aid in network sniffing?,A,C,Incorrect
"According to MITRE ATT&CK, which mitigation strategy should be used to ensure only authorized users can modify industrial control system parameter values?",B,B,Correct
Which attack technique involves modifying parameters on EtherCat connected servo drives using the HTTP CGI scripts on Omron PLCs?,A,B,Incorrect
"In the Maroochy Water Breach incident, what was the consequence of the adversary altering configurations in the PDS computers?",D,D,Correct
What technique ID and name in MITRE ATT&CK is associated with modifying parameters to produce unexpected values in control systems?,A,C,Incorrect
Which detection method involves monitoring ICS management protocols for unexpected parameter changes?,C,D,Incorrect
"In the context of MITRE ATT&CK for ICS, which malware was known to migrate from IT to ICS environments exploiting the SMBv1-targeting MS17-010 vulnerability?",B,B,Correct
Which mitigation technique involves making it difficult for adversaries to advance their operation through exploitation of vulnerabilities by using sandboxing?,B,B,Correct
"Among the listed procedural examples, which malware exploits the MS17-010 vulnerability specifically to spread across industrial networks?",B,B,Correct
What is a common goal for post-compromise exploitation of remote services in ICS environments?,C,C,Correct
Which of the following is a key practice for minimizing permissions and access for service accounts to limit the impact of exploitation?,D,D,Correct
"Which of the following adversary groups is known to use drive-by compromise techniques to infiltrate electric utilities, according to the MITRE ATT&CK framework (ID: T0817)?",A,D,Incorrect
"What mitigation strategy, as listed in MITRE ATT&CK for drive-by compromise (ID: T0817), involves the usage of modern browsers with advanced security techniques enabled?",B,D,Incorrect
"For detecting indicators of drive-by compromise (MITRE ATT&CK ID: T0817), which of the following data sources would be most appropriate for monitoring newly created network connections?",C,C,Correct
Which type of tactical compromise does the drive-by compromise (ID: T0817) primarily embody according to MITRE ATT&CK’s classification?,A,A,Correct
"In the context of the MITRE ATT&CK technique drive-by compromise (ID: T0817), what does DS0009 (Process Creation) detect?",B,C,Incorrect
"Which of the following malware examples uses a General Interrogation command to monitor the device’s Information Object Addresses (IOAs) and their IO state values in the context of the MITRE ATT&CK for Enterprise with technique ID T0801, ""Monitor Process State""?",B,B,Correct
"In the context of monitoring ICS systems for adversary collection using MITRE ATT&CK technique T0801, ""Monitor Process State,"" which detection data source should be utilized for tracking access attempts to operational databases like Historians?",A,A,Correct
"Which targeted asset category would be the most applicable for technique T0801, ""Monitor Process State,"" involving the use of OPC tags or historian data?",C,C,Correct
"Regarding MITRE ATT&CK ID T0889, which of the following techniques could be used by an adversary to modify a program on a controller?",D,A,Incorrect
Which mitigation technique is recommended for ensuring integrity of control logic or programs on a controller in MITRE ATT&CK?,C,B,Incorrect
Which platform's data source would you monitor to detect changes in controller programs by examining application logs as per MITRE ATT&CK ID T0889?,B,B,Correct
What is the primary tactic associated with the MITRE ATT&CK technique T0889?,A,D,Incorrect
What is the primary goal of adversaries in Technique T0861 in the MITRE ATT&CK framework?,A,B,Incorrect
Which mitigation involves using bump-in-the-wire devices or VPNs to ensure communication authenticity in ICS environments?,B,B,Correct
What type of logs should be monitored according to DS0015 to detect anomalies associated with point or tag data requests?,C,C,Correct
Which procedure example enumerates OPC tags to understand the functions of control devices in Technique T0861?,A,B,Incorrect
"In the context of MITRE ATT&CK, which threat actor can exploit hardcoded credentials to infiltrate Omron PLCs? This question pertains to the ICS platform and is based on Technique ID T0891 (Hardcoded Credentials).",A,A,Correct
Which mitigation strategy is recommended to protect against the exploitation of hardcoded credentials in the MITRE ATT&CK framework? This question pertains to the ICS platform and is based on Technique ID T0891 (Hardcoded Credentials).,B,B,Correct
During which notable event did the Sandworm Team use HTTP post requests for C2 communication?,A,A,Correct
Which RAT is known to use HTTP for command and control in the context of T1071.001: Application Layer Protocol: Web Protocols?,A,A,Correct
Which family of RATs does NOT use the HTTP protocol for command and control?,C,B,Incorrect
"In the context of detection, which data source is leveraged for identifying network traffic anomalies related to T1071.001?",A,A,Correct
What is an example of a mitigation strategy to defend against T1071.001?,A,B,Incorrect
"Which specific driver is primarily used by threat actors to abuse HTTP/S traffic for command communication, according to T1071.001?",A,A,Correct
Which mitigation strategy prevents adversaries from gaining control of crucial systems by ensuring quick recovery from disruptions in ICS environments related to MITRE ATT&CK T0815 - Denial of View?,B,B,Correct
"In the context of MITRE ATT&CK T0815 - Denial of View, which adversary tactic was specifically employed during the Maroochy Water Breach to disrupt oversight?",C,C,Correct
"How does the mitigation technique ""Out-of-Band Communications Channel (M0810)"" help in managing the impact of MITRE ATT&CK T0815 - Denial of View attacks?",C,C,Correct
Which of the following best describes the ID T0868 in the MITRE ATT&CK framework for ICS?,B,C,Incorrect
In which operating mode are program uploads and downloads between the device and an engineering workstation allowed?,C,C,Correct
What is the primary purpose of monitoring network traffic content for device-specific operating modes?,A,B,Incorrect
Which mitigation technique is focused on ensuring that field controllers only allow modifications by certain users?,A,B,Incorrect
The Triton malware references specific program and key states through which file?,B,D,Incorrect
Which MITRE ATT&CK technique involves compromising safety system functions to maintain operation during unsafe conditions?,B,B,Correct
Which mitigation technique focuses on segmenting Safety Instrumented Systems (SIS) from operational networks to prevent targeting by adversaries?,D,D,Correct
"Within the context of MITRE ATT&CK for Enterprise, which procedure is specifically identified for extracting the keychain data from an iOS device?",C,C,Correct
"Which mitigation strategy, listed under MITRE ATT&CK for Mobile, could potentially prevent an adversary from accessing the entire keychain database on a jailbroken iOS device?",C,A,Incorrect
"According to MITRE ATT&CK technique T1634 for Credentials from Password Store, which of the following data sources is used to detect known privilege escalation exploits within applications?",A,D,Incorrect
Which mitigation strategy in MITRE ATT&CK’s technique T1634 recommends using security products to take appropriate action when jailbroken devices are detected?,C,C,Correct
Which of the following procedures is most likely to involve modifying the system partition to maintain persistence on an Android device?,B,D,Incorrect
"What might be a suitable mitigation technique for detecting unauthorized modifications to the system partition, according to the MITRE ATT&CK framework?",A,A,Correct
What data source and component could be utilized to detect applications trying to modify files in protected parts of the operating system in the context of MITRE ATT&CK T1645?,B,B,Correct
"In the context of MITRE ATT&CK (Enterprise), which vulnerability allows adversaries to add bytes to APK and DEX files without affecting the file’s signature?",B,A,Incorrect
"Given the MITRE ATT&CK (Enterprise) T1577 description, which method would NOT be used by adversaries to ensure persistent access through compromised application executables?",B,A,Incorrect
"According to MITRE ATT&CK (Enterprise) T1577, which mitigation strategy involves using a device OS version that has patched known vulnerabilities?",C,C,Correct
"Regarding the MITRE ATT&CK technique T1623.001: Command and Scripting Interpreter: Unix Shell, which of the following statements is true?",B,B,Correct
Which malware family associated with MITRE ATT&CK technique T1623.001 is known for including encoded shell scripts to aid in the rooting process?,A,D,Incorrect
Which of the following data sources is most relevant for detecting command-line activities as specified under MITRE ATT&CK technique T1623.001?,B,B,Correct
Which mitigation strategy is specifically recommended to detect jailbroken or rooted devices as per the MITRE ATT&CK technique T1623.001?,A,D,Incorrect
Which mitigation strategy can detect jailbroken or rooted devices according to MITRE ATT&CK technique T1623 (Command and Scripting Interpreter)?,B,B,Correct
Which procedure example utilizes malicious JavaScript to steal information in the scope of MITRE ATT&CK technique T1623 (Command and Scripting Interpreter)?,No content generated.,C,Incorrect
Which data source and data component combination could detect command-line activities for MITRE ATT&CK technique T1623 (Command and Scripting Interpreter) in Mobile platforms?,B,D,Incorrect
"In the context of MITRE ATT&CK for the Mobile platform, which API usage can be detected by application vetting services?",B,B,Correct
Which mobile threat groups are noted for clipboard data collection in MITRE ATT&CK?,A,D,Incorrect
Which adversary technique pertains to the use of OSI application layer protocols to avoid detection by blending in with existing traffic?,B,B,Correct
"Which adversarial group has notably used IRC for Command and Control (C2) communications, as specified in the procedure examples?",D,D,Correct
What protocol and port has Lucifer malware used for communication between the cryptojacking bot and the mining server?,C,C,Correct
Which of the following is a mitigation technique for T1071 - Application Layer Protocol?,B,A,Incorrect
"In MITRE ATT&CK for Mobile, which malware can silently accept an incoming phone call?",A,C,Incorrect
Which of the following MITRE ATT&CK techniques allows an application to programmatically control phone calls without the user's permission?,A,A,Correct
Which malware is capable of making phone calls and displaying a fake call screen?,C,C,Correct
"According to MITRE ATT&CK Mobile, which permission is required for an application to redirect a call or abort an outgoing call entirely?",C,C,Correct
Which technique involves adversaries using scripts automatically executed at boot or logon initialization to establish persistence? (Enterprise),B,B,Correct
What mitigation could help prevent unauthorized modifications to protected operating system files by locking the bootloader?,B,B,Correct
"In MITRE ATT&CK's ""Audio Capture"" technique (T1429), which Android permission allows an application to access the microphone?",A,A,Correct
"On iOS, what must an application include in its Info.plist file to access the microphone for audio capture as per the Audio Capture technique (T1429)?",C,C,Correct
"As stated in MITRE ATT&CK's Audio Capture technique (T1429), which Android constant can be passed to MediaRecorder.setAudioOutput to capture both voice call uplink and downlink?",B,C,Incorrect
"Which mitigation technique can help restrict access to the microphone on Android devices, as mentioned in MITRE ATT&CK's Audio Capture technique (T1429)?",D,D,Correct
"According to MITRE ATT&CK’s Audio Capture technique (T1429), which data source would you monitor to detect unauthorized microphone access on iOS devices?",A,C,Incorrect
Which mobile malware mentioned in MITRE ATT&CK’s Audio Capture technique (T1429) specifically requires microphone permissions to record audio on Android devices?,D,C,Incorrect
"In the context of MITRE ATT&CK (Enterprise), which technique corresponds to the ID T1532?",A,B,Incorrect
"Which of the following tools has used the zlib library for data compression prior to exfiltration, according to the MITRE ATT&CK framework?",D,C,Incorrect
"According to MITRE ATT&CK, which procedure involves using a simple XOR operation with a pre-configured key for encrypting data prior to exfiltration?",B,D,Incorrect
Which of the following mitigations could be used to counter the MITRE ATT&CK technique T1661: Application Versioning within a mobile enterprise environment?,B,B,Correct
"In the context of MITRE ATT&CK technique T1661: Application Versioning, which detection method can identify when an application requests new permissions after an update?",C,C,Correct
Which of the following malware uses Firebase Cloud Messaging (FCM) for Command and Control (C2) communication?,A,B,Incorrect
Which technique under MITRE ATT&CK Command and Control tactic involves the abuse of native mobile messaging services like Google Cloud Messaging (GCM) and Firebase Cloud Messaging (FCM)?,D,B,Incorrect
Which mitigation approach is suggested for the abuse of standard application protocols according to MITRE ATT&CK?,B,D,Incorrect
Which malware uses both HTTP and WebSockets for C2 communication?,B,B,Correct
Which malware uses Google Cloud Messaging (GCM) for C2 communication?,D,C,Incorrect
What protocol did PROMETHIUM use with StrongPity for C2 communication during C0033?,B,D,Incorrect
"Which application layer protocol has DoubleAgent utilized for data exfiltration, as mentioned in MITRE ATT&CK T1437 (Mobile)?",A,B,Incorrect
"Based on MITRE ATT&CK T1437 (Mobile), which type of protocol was used by Drinik for Command and Control (C2) instructions?",C,C,Correct
"In the context of MITRE ATT&CK for Enterprise, which technique involves adversaries positioning themselves between networked devices to perform follow-on behaviors such as Transmitted Data Manipulation or Endpoint Denial of Service?",C,C,Correct
Which of the following procedure examples is known for intercepting device communication by hooking SSLRead and SSLWrite functions in the iTunes process?,A,C,Incorrect
Which mitigation strategy helps make it more difficult for applications to register as VPN providers on mobile devices?,B,B,Correct
What data source can potentially detect rogue Wi-Fi access points if the adversary attempts to decrypt traffic using an untrusted SSL certificate?,D,D,Correct
"In the context of the MITRE ATT&CK Enterprise platform, which adversarial action corresponds to ID T1640?",C,A,Incorrect
Consider the following scenario pertaining to MITRE ATT&CK for Enterprise: An adversary is attempting to capture SMS-based one-time authentication codes. Which technique ID and name from MITRE ATT&CK is best suited to describe this method?,B,B,Correct
Which of the following adversary techniques involves monitoring notifications to intercept and manipulate messages on a mobile device?,D,D,Correct
"During a security assessment, you found that an application was granted access to the NotificationListenerService. What detection source and data component should you review to vet applications requesting this privilege?",D,D,Correct
Which mitigation strategy involves encouraging developers to prevent sensitive data from appearing in notification text to mitigate the risks associated with adversaries collecting data from notifications?,C,C,Correct
Which mitigation strategy is recommended to counter adversaries abusing Android’s device administration API as per MITRE ATT&CK (T1626.001) for the Privilege Escalation tactic?,B,C,Incorrect
"Which data component, according to MITRE ATT&CK (T1626.001), should be monitored to detect abuse of device administrator permissions on Android?",B,B,Correct
How can adversaries escalate privileges by abusing Android's device administration API as described in MITRE ATT&CK T1626.001?,No content generated.,B,Incorrect
"Which data source is used to monitor permissions requests at the user interface level according to MITRE ATT&CK's technique for ""Abuse Elevation Control Mechanism"" (T1626)?",D,D,Correct
"Which mitigation technique is recommended to prevent applications from flagging as potentially malicious due to requiring administrator permission, according to MITRE ATT&CK's technique for ""Abuse Elevation Control Mechanism"" (T1626)?",C,C,Correct
"In the context of MITRE ATT&CK, which technique involves adversaries exploiting remote services for lateral movement within an enterprise network?",B,B,Correct
Which detection method pertains to identifying applications that perform Discovery or utilize existing connectivity to remotely access hosts within an internal enterprise network?,D,C,Incorrect
"Per the MITRE ATT&CK description for T1428, what mitigation can limit internal enterprise resource access via VPN to only approved applications?",A,C,Incorrect
Which mitigation strategy is associated with identifying compromised devices in the context of MITRE ATT&CK Privilege Escalation (T1404) on mobile platforms?,B,B,Correct
Which adversarial tool from the MITRE ATT&CK framework has been noted to use the TowelRoot exploit for privilege escalation on mobile devices?,C,B,Incorrect
Which mobile threat actor utilizes the DirtyCow exploit to elevate privileges according to MITRE ATT&CK T1404?,C,B,Incorrect
What type of data source is identified as useful for detecting privilege escalation attempts via API calls in the MITRE ATT&CK framework?,A,C,Incorrect
"Which mobile exploit can be used to achieve initial access without any user interaction, as described in MITRE ATT&CK Technique T1664 (Exploitation for Initial Access)?",D,D,Correct
What mitigation technique ID M1001 emphasizes to reduce the risk of MITRE ATT&CK Technique T1664 (Exploitation for Initial Access) on mobile devices?,C,C,Correct
"In the context of MITRE ATT&CK, which of the following techniques is described by Technique ID T1658 for the Execution tactic?",No content generated.,A,Incorrect
Which specific example is mentioned in the text for compromising an iPhone running iOS 16.6 without any user interaction?,A,A,Correct
What mitigation strategy is recommended for handling iMessages from unknown senders according to the document?,D,D,Correct
"Regarding the MITRE ATT&CK technique T1646 (Exfiltration Over C2 Channel) on the Enterprise platform, which malware was noted for exfiltrating cached data from infected devices?",A,B,Incorrect
"Which of the following malware instances can exfiltrate data via both SMTP and HTTP, according to the descriptions provided for MITRE ATT&CK technique T1646 (Exfiltration Over C2 Channel)?",B,A,Incorrect
"For the MITRE ATT&CK technique T1646 (Exfiltration Over C2 Channel) in the Enterprise context, which malware uses HTTP PUT requests for data exfiltration?",A,B,Incorrect
"In the context of MITRE ATT&CK T1639 (Exfiltration Over Alternative Protocol) for Exfiltration, which of the following protocols is not typically used for alternate data exfiltration?",C,C,Correct
An adversary utilizing MITRE ATT&CK T1639 technique on an Enterprise platform chooses to exfiltrate data using email. Which of the following malware has been known to use this method?,A,A,Correct
"In the context of MITRE ATT&CK for Enterprise, what permissions are required on an Android device to implement Geofencing if an application targets Android 10 or higher?",C,C,Correct
Which mitigation strategy is recommended to address the risks associated with Execution Guardrails: Geofencing?,C,B,Incorrect
"Within the MITRE ATT&CK framework, which data source and component can help detect the unnecessary or potentially abused location permissions requests by applications?",C,C,Correct
How does the adversary technique Execution Guardrails: Geofencing contribute to defense evasion?,C,C,Correct
"1. In order for adversaries to successfully poison an ARP cache, which tactic is usually necessary?",A,A,Correct
2. Which ARP-related behavior makes it easier for adversaries to execute ARP cache poisoning?,D,D,Correct
3. How can disabling updates on gratuitous ARP replies mitigate ARP cache poisoning attacks?,B,B,Correct
"4. Which group has implemented ARP cache poisoning using custom tools, according to the provided text?",A,B,Incorrect
"5. To detect indicators of ARP cache poisoning, what network activity should be monitored?",A,A,Correct
"1. In the context of MITRE ATT&CK for Defense Evasion (ID: T1627), which of the following scenarios best exemplifies the use of Execution Guardrails?",A,B,Incorrect
"2. Which mitigation strategy is most effective against Execution Guardrails according to MITRE ATT&CK (ID: T1627), and aligns with recent device location access constraints?",C,C,Correct
1. In MITRE ATT&CK Technique ID T1624.001 (Event Triggered Execution: Broadcast Receivers) for which versions of Android broadcast intent registration behavior was fundamentally changed?,B,C,Incorrect
"2. According to Technique ID T1624.001, what can malicious applications use broadcast intents for on Android devices?",A,A,Correct
"3. Which example, according to Technique ID T1624.001, uses the BOOT_COMPLETED event to automatically start after device boot?",C,C,Correct
4. How does FlexiSpy establish persistence based on MITRE ATT&CK Technique ID T1624.001 (Event Triggered Execution: Broadcast Receivers)?,B,A,Incorrect
5. What mitigation does MITRE ATT&CK propose for limiting the impact of Event Triggered Execution: Broadcast Receivers technique on Android devices?,B,B,Correct
"In the context of MITRE ATT&CK's ""Event Triggered Execution"" (ID: T1624) on mobile platforms, which of the following adversary techniques involves maliciously modifying background services to restart after the parent activity stops?",No content generated.,B,Incorrect
"Which of the following mitigations involves updating the operating system to limit the implicit intents that an application can register for, mitigating adverse impacts of ""Event Triggered Execution"" (ID: T1624)?",C,C,Correct
"With respect to MITRE ATT&CK's Enterprise platform for Endpoint Denial of Service (DoS) and based on the behavior of the Exobot malware, what is a key capability this malware possesses?",B,B,Correct
"Which of the following mitigations would be most effective against the Endpoint Denial of Service (DoS), associated with MITRE ATT&CK’s ID T1642, for Android devices running versions prior to 7?",B,B,Correct
Which technique in the MITRE ATT&CK framework is associated with adversaries using SSL Pinning to protect C2 traffic?,D,D,Correct
For which data source should you set up detection mechanisms to identify SSL Pinning behaviors in applications as per MITRE ATT&CK guidelines?,B,D,Incorrect
What is a potential mitigation listed in MITRE ATT&CK to counter the misuse of SSL Pinning for malicious C2 traffic?,B,B,Correct
Which procedure example uses public key encryption to encrypt the symmetric encryption key for C2 messages?,A,D,Incorrect
What is the primary challenge in effectively mitigating Technique T1521.002 (Encrypted Channel: Asymmetric Cryptography)?,A,C,Incorrect
Which MITRE ATT&CK technique is utilized by FluBot to encrypt C2 message bodies?,A,C,Incorrect
What encryption algorithm is used by PROMETHIUM during C0033 for C2 communication?,A,A,Correct
Which action can EventBot perform to conceal C2 payload data?,C,B,Incorrect
"In the context of MITRE ATT&CK for Enterprise, which technique is employed by adversaries to procedurally generate domain names for command and control communication?",C,C,Correct
Which of the following is a detection method for identifying potential use of Domain Generation Algorithms according to MITRE ATT&CK?,A,B,Incorrect
Which detection method is advisable to identify the use of Dynamic Resolution (T1637) by adversaries?,B,B,Correct
What is a common challenge in mitigating Dynamic Resolution (T1637) used in Command and Control tactics?,C,C,Correct
Which utility can be used to poison name services within local networks to gather hashes and credentials?,No content generated.,A,Incorrect
What is the port number used by LLMNR for name resolution?,C,C,Correct
Which of the following tools can conduct name service poisoning for credential theft and relay attacks?,No content generated.,A,Incorrect
What tactic is associated with MITRE ATT&CK technique T1557.001?,C,A,Incorrect
Which mitigation strategy involves isolating infrastructure components that do not require broad network access?,D,D,Correct
Which of the following MITRE ATT&CK techniques involves the interception and relay of authentication materials?,D,D,Correct
"In the context of MITRE ATT&CK Enterprise, which of the following describes the primary method of execution in a Drive-By Compromise (T1456)?",C,C,Correct
Which web browser vulnerability identification method might be used in a Drive-By Compromise (T1456)?,B,B,Correct
"Referring to the provided examples of Drive-By Compromise (T1456), which one involved distributing malware via a reputable Syrian government website?",B,D,Incorrect
Which mitigation strategy is most effective in addressing exploits used in Drive-By Compromise (T1456)?,C,C,Correct
"What is the main objective of the MITRE ATT&CK technique T1407 ""Download New Code at Runtime""?",D,D,Correct
Which data source in the detection section can look for indications that the application downloads and executes new code at runtime?,B,C,Incorrect
Which of the procedures listed utilizes a backdoor in a Play Store app to install additional trojanized apps from the Command and Control server?,A,D,Incorrect
Which mitigation technique could help limit the ability of applications to download and execute native code at runtime?,C,C,Correct
What specific technique can Anubis employ according to the MITRE ATT&CK procedure examples?,A,B,Incorrect
"On which platform is the technique T1407 ""Download New Code at Runtime"" primarily observed?",B,B,Correct
Which mitigation strategy is recommended for preventing T1641.001 Data Manipulation via clipboard on Android?,C,C,Correct
Which malware has been known to manipulate clipboard data to replace cryptocurrency addresses as per MITRE ATT&CK technique T1641.001?,C,B,Incorrect
What is a key method adversaries use to monitor and manipulate clipboard activity on Android as described in the T1641.001 technique?,C,C,Correct
Which of the following mitigation strategies is associated with making Data Manipulation (T1641) more difficult according to MITRE ATT&CK?,B,C,Incorrect
"Regarding Data Manipulation (T1641) in MITRE ATT&CK, which method can be used for detection based on the specified document?",B,C,Incorrect
ID:T1533 falls under which MITRE ATT&CK tactic?,A,B,Incorrect
Which of the following adversaries is known for collecting Wi-Fi passwords?,A,C,Incorrect
Which procedure example is associated with collecting Google Authenticator codes?,A,B,Incorrect
What type of data can Anubis exfiltrate from a device?,A,C,Incorrect
Which adversary is capable of stealing WhatsApp media?,D,B,Incorrect
Which adversary is capable of exfiltrating authentication tokens from a local system?,D,B,Incorrect
"In the context of MITRE ATT&CK, and specifically referring to technique ID T1471 (Data Encrypted for Impact), which of the following malware is known for encrypting files on external storage such as an SD card and requesting a PayPal cash card as ransom?",A,C,Incorrect
"Considering the detection measures for MITRE ATT&CK technique T1471 (Data Encrypted for Impact), which data source and component are advised for identifying if an application attempts to encrypt files?",A,B,Incorrect
"In the context of the MITRE ATT&CK framework, specifically related to Technique T1662 (Data Destruction), which command might adversaries use to delete specific files?",D,D,Correct
"According to Procedure Example S1094 from the MITRE ATT&CK framework, what malware capability does BRATA have related to Technique T1662 (Data Destruction)?",C,C,Correct
Which mitigation measure (as per ID M1011) is suggested to prevent unauthorized data destruction as per MITRE ATT&CK Technique T1662?,A,D,Incorrect
Which adversary tactic can BRATA use to interact with other installed applications on an Android device?,C,B,Incorrect
What mitigation strategy can an organization implement using EMM/MDM to control accessibility services on Android?,D,D,Correct
"Which technique ID corresponds to ""Input Capture: GUI Input Capture"" in MITRE ATT&CK framework?",B,B,Correct
Which mobile malware uses the SYSTEM_ALERT_WINDOW permission to create overlays to capture user credentials for targeted applications?,No content generated.,C,Incorrect
Why might mobile device users be more susceptible to Input Capture attacks compared to traditional PC users?,C,C,Correct
